"Parent","Alternatives","ParentNestCoeff"
"Root","auto, nonhh_auto, transit",1
"auto","sov, hov2, hov3",0.747
"nonhh_auto","auto_pay, other_auto",0.736
"transit","walk, pnr, knr, sav",1
"walk","w_lb, w_eb, w_brt, w_cr",0.52
"knr","knr_lb, knr_eb, knr_brt, knr_cr",0.637
"pnr","pnr_lb, pnr_eb, pnr_brt, pnr_cr",1
"sav","sav_lb, sav_eb, sav_brt, sav_cr",1
