"projid","master_route_id","scenario_route_id","master_length","scenario_length","length_diff","pct_diff","master_stops","scenario_stops","missing_stops"
"80",775,308,19.0681,19.0641,-0.00402265,-0.02,14,14,0
"80",785,315,19.2374,19.2374,0.00,0.00,12,12,0
"81",72,23,25.9871,25.9871,0.00,0.00,16,16,0
"81",549,191,24.158,24.158,0.00,0.00,9,9,0
"83",155,47,3.28824,3.28824,0.00,0.00,15,15,0
"83",440,140,2.34283,2.34283,0.00,0.00,11,11,0
"84",768,303,16.1742,16.4901,0.31599,1.95,39,39,0
"84",769,304,14.9822,15.2982,0.31599,2.11,36,36,0
"85",610,215,18.4521,18.451,-0.00106302,-0.01,7,7,0
"85",611,216,18.7669,18.7663,-0.000658238,-0.00,7,7,0
"89",196,62,11.4019,11.4019,0.00,0.00,54,54,0
"89",197,63,12.5505,12.5505,0.00,0.00,60,60,0
"90",402,117,11.933,11.933,0.00,0.00,56,56,0
"90",403,118,12.6182,12.6182,0.00,0.00,63,63,0
"96",203,64,5.89515,5.89515,0.00,0.00,34,34,0
"96",228,68,5.91953,5.91953,0.00,0.00,30,30,0
"99",219,66,11.5562,11.5562,0.00,0.00,68,68,0
"99",220,67,9.95571,9.95571,0.00,0.00,60,60,0
"101",404,119,12.4346,12.4346,0.00,0.00,57,57,0
"101",405,120,13.662,13.662,0.00,0.00,59,59,0
"102",207,65,11.6601,11.6601,0.00,0.00,57,56,1
"102",239,69,13.744,13.744,0.00,0.00,60,60,0
"107",164,51,4.50111,4.50111,0.00,0.00,20,20,0
"108",82,24,3.24684,3.24684,0.00,0.00,8,8,0
"108",83,25,3.3378,3.3378,0.00,0.00,8,8,0
"110",387,110,4.01204,4.01204,0.00,0.00,27,27,0
"111",84,26,4.32662,4.32662,0.00,0.00,19,19,0
"111",174,55,3.91823,3.91823,0.00,0.00,17,17,0
"112",168,53,3.48692,3.48692,0.00,0.00,11,11,0
"113",176,57,4.0711,4.0711,0.00,0.00,17,17,0
"114",173,54,3.49352,3.49352,0.00,0.00,17,17,0
"115",166,52,4.37613,4.37613,0.00,0.00,30,30,0
"116",389,111,4.02478,4.02478,0.00,0.00,22,22,0
"117",85,27,3.65557,3.65557,0.00,0.00,17,17,0
"117",175,56,3.46228,3.46228,0.00,0.00,16,16,0
"118",86,28,1.52411,1.52411,0.00,0.00,9,9,0
"118",87,29,1.52411,1.52411,0.00,0.00,9,9,0
"120",88,30,1.75984,1.75984,0.00,0.00,9,9,0
"120",89,31,1.83978,1.83978,0.00,0.00,10,10,0
"122",378,107,4.46582,4.46582,0.00,0.00,19,19,0
"122",379,108,4.08002,4.08002,0.00,0.00,20,20,0
"123",92,32,1.56185,1.56185,0.00,0.00,9,9,0
"123",163,50,1.84084,1.84084,0.00,0.00,10,10,0
